# u-blox Message IDs as of u-blox 8, from UBX-13003221 R16

UBX-ACK,0x05
UBX-NAV-VELNED,0x01,0x12
UBX-RXM,0x02
UBX-RXM-IMES,0x02,0x61
UBX-RXM-MEASX,0x02,0x14
UBX-RXM-PMREQ,0x02,0x41
UBX-RXM-RAWX,0x02,0x15
UBX-RXM-RLM,0x02,0x59
UBX-RXM-RTCM,0x02,0x32
UBX-RXM-SFRBX,0x02,0x13
UBX-RXM-SVSI,0x02,0x20
UBX-SEC,0x27
UBX-SEC-SIGN,0x27,0x01
UBX-TIM,0x0D
UBX-SEC-UNIQID,0x27,0x03
UBX-TIM-DOSC,0x0D,0x11
UBX-TIM-FCHG,0x0D,0x16
UBX-TIM-HOC,0x0D,0x17
UBX-TIM-SMEAS,0x0D,0x13
UBX-TIM-SVIN,0x0D,0x04
UBX-TIM-TM2,0x0D,0x03
UBX-TIM-TOS,0x0D,0x12
UBX-TIM-TP,0x0D,0x01
UBX-TIM-VCOCAL,0x0D,0x15
UBX-TIM-VRFY,0x0D,0x06
UBX-UPD,0x09
UBX-UPD-SOS,0x09,0x14
